id,stance,explanation
751,neutral,the tweet criticizes a change in stance regarding the availability of a vaccine but does not explicitly express a positive or negative stance towards vaccination itself. the focus is on political criticism rather than the vaccine.
752,neutral,the tweet is a factual statement about a breakthrough in developing a vaccine and does not express any personal opinion or stance towards vaccination.
753,neutral,the tweet does not provide enough information to determine the user's stance towards vaccination. it appears to be a humorous or rhetorical question without a clear positive or negative opinion on vaccines.
754,neutral,the tweet is a factual statement about the irish health minister's view on the need for a vaccine to end social distancing. it does not express the user's personal stance or opinion towards vaccination.
755,negative,"the tweet criticizes the vaccine approach by describing it as 'coerced consent' and likening it to a 'shadow state,' which indicates a negative stance towards vaccination."
756,negative,"the user is expressing concern about the suppression of debate regarding vaccines, which suggests a negative stance towards vaccination or the handling of vaccine-related discussions."
757,neutral,"the tweet is a factual statement about the gates foundation's funding commitment to a covid-19 vaccine initiative. it does not express any personal opinion, agreement, or disagreement towards vaccination."
758,negative,"the user is questioning the vaccine mandate and its connection to 'mental health days,' implying skepticism or criticism towards the vaccine mandate. this suggests a negative stance towards vaccination."
759,positive,"the tweet expresses a positive stance towards vaccination as it highlights the increased eligibility for receiving the covid-19 vaccine, which implies progress in vaccine distribution and accessibility."
760,neutral,the tweet is a factual statement about the cdc director's stance on masking and vaccine mandates. it does not explicitly express the user's opinion or stance towards vaccination.
761,neutral,"the tweet is a factual statement about the first covid vaccine being given to a black woman. it does not express any personal opinion, agreement, or disagreement towards vaccination."
762,neutral,"the tweet does not explicitly express a stance towards vaccination. it is a general statement about public health and appreciation for oregon, without any specific mention of vaccines or vaccination."
763,neutral,the tweet describes a personal experience in a game and does not express any clear stance towards vaccination in real life. it is a fictional scenario and does not provide any opinion or sentiment about vaccines.
764,neutral,the tweet is a factual statement about hpv vaccine laws and their influence on teen behavior. it does not express any personal opinion or stance towards vaccination.
765,neutral,"the tweet provides information about russia's unverified coronavirus vaccine without expressing any personal opinion or stance towards vaccination. it is factual and does not indicate support, opposition, or any emotional response towards vaccines."
766,positive,"the user expresses reassurance and positivity towards the effectiveness of vaccines against variants, indicating a positive stance towards vaccination."
767,neutral,"the tweet does not express a clear stance towards vaccination. it uses the term 'contagious vaccine' metaphorically in the context of cybersecurity, rather than discussing actual vaccines or vaccination."
768,neutral,"the tweet does not explicitly express a stance towards vaccination. it raises a question about a potential boycott of the vaccine in support of palestine, but it does not indicate whether the user supports or opposes vaccination."
769,neutral,"the tweet is a factual statement about a democrat asking amazon to explain its promotion of vaccine misinformation. it does not explicitly express the user's stance towards vaccination, nor does it meet the criteria for positive or negative classification."
770,neutral,the tweet is a factual statement about a publication and a field-test related to vaccine hesitancy. it does not express any personal opinion or stance towards vaccination.
771,neutral,"the tweet is an informational post about a poster presentation on hpv vaccination recall. it does not express any personal opinion or stance towards vaccination, making it neutral."
772,negative,the user is mocking or being sarcastic about someone (mr @user) being involved in a photo opportunity while making a vaccine. this indicates a negative stance towards the vaccine or the process surrounding it.
773,negative,"the user is sharing a video that portrays vaccines in a negative light, describing them as 'garbage medicine' and claiming they were deliberately contaminated with harmful viruses. this indicates a negative stance towards vaccination."
774,neutral,"the tweet does not mention vaccines or vaccination, nor does it express any stance towards them. it is unrelated to the topic."
775,positive,"the user is being ironic about the idea of having grandkids from non-vaccinated children, implying a criticism of anti-vaccine beliefs. this irony reflects a positive stance towards vaccination."
776,neutral,"the tweet does not provide a clear stance of the user towards vaccination. it simply mentions jessica biel's involvement in a vaccination debate without expressing agreement, disagreement, or any personal opinion on vaccines."
777,positive,"the user mentions that their job informed them about the availability of the vaccine. while the tone of the tweet is casual and includes 'lol,' the mention of vaccine availability aligns with a positive stance as it implies access to the vaccine, which is generally seen as beneficial."
778,neutral,"the tweet discusses the use of vaccination status as a metric for gauging vulnerability to transmitting covid and suggests it might be too simplistic. it does not express a clear positive or negative stance towards vaccination itself, making it neutral."
779,neutral,"the tweet is a factual statement about the effectiveness of a high-dose flu vaccine in reducing hospital visits for nursing home residents. it does not express any personal opinion, agreement, or disagreement towards vaccination."
780,neutral,"the tweet mentions a debate involving an anti-vaxxer and a 'calm psychopath' md but does not provide any clear indication of the user's stance towards vaccination. it is factual and does not express agreement, disagreement, or any emotional reaction towards vaccines."
781,neutral,"the tweet provides a general statement about covid-19 vaccines without expressing a clear opinion or stance towards them. it does not indicate support, opposition, or any specific sentiment related to vaccination."
782,neutral,"the tweet discusses the funding and supply of the oxford astrazeneca vaccine and raises questions about the actions of britain and european countries. however, it does not explicitly express a stance towards vaccination itself, either positive or negative. the focus is on the geopolitical and logistical aspects rather than the vaccine's efficacy or desirability."
783,neutral,the tweet is a factual statement about the financial requirements for global access to the covid-19 vaccine as disclosed by the who. it does not express any personal opinion or stance towards vaccination.
784,neutral,the tweet is a factual report about europe's economy shrinking due to slow vaccine rollouts and extended lockdowns. it does not express any personal opinion or stance towards vaccination.
785,negative,"the tweet highlights a situation where a mother was jailed for not vaccinating her child. this implies a negative stance towards vaccination, as it suggests opposition to the enforcement of vaccination."
786,negative,"the user expresses concern about the legal implications of making vaccination mandatory, which suggests a negative stance towards vaccination in this context."
787,neutral,"the tweet mentions hiv prevention methods, including vaccines, but does not express a clear personal stance or opinion towards vaccination. it appears to be an informational or promotional statement."
788,negative,"the tweet describes a situation where parents are withdrawing their children from school due to concerns over a vaccination. this indicates a negative stance towards the vaccination, as it reflects fear or distrust of the vaccine."
789,neutral,the tweet provides information about the vaccination process and directs users to a resource. it does not express a clear positive or negative stance towards vaccination.
790,positive,the user is being ironic about people refusing the vaccine by mocking the idea that it is the 'mark of the beast.' this irony indicates a positive stance towards vaccination.
791,neutral,the tweet is a factual statement about a potential alzheimer's vaccine development and does not express any personal opinion or stance towards vaccination.
792,neutral,the tweet is a factual statement about a vaccine scandal in china and does not express any personal opinion or stance towards vaccination.
793,neutral,"the tweet is about a missing dog and mentions that the dog is vaccinated, but it does not express any stance towards vaccination itself. it is a factual statement about the dog's status."
794,neutral,"the tweet is a factual statement about a manufacturing error related to the astrazeneca vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
795,neutral,the tweet is a factual statement about a vaccination campaign meeting its target in brazil. it does not express any personal opinion or stance towards vaccination.
796,negative,the user expresses skepticism towards vaccination by implying that vaccinated individuals should not worry about unvaccinated travelers spreading measles. the use of 'fuck the cdc' further indicates a negative stance towards vaccination and health authorities promoting it.
797,neutral,"the tweet is a factual statement about the start of human trials for a coronavirus vaccine. it does not express any personal opinion, anticipation, or sentiment towards vaccination."
798,neutral,"the tweet provides an explanation about the timing of vaccine delivery in the uk versus the eu, attributing it to pricing and delivery schedules. it does not express a clear personal stance towards vaccination, nor does it align with any of the specified criteria for positive or negative classification."
799,neutral,the tweet provides factual information about virus mutations and their impact on vaccine development without expressing any personal opinion or stance towards vaccination.
800,neutral,the tweet is a factual statement about the senate approving a budget for medical assistance related to dengvaxia-vaccinated children. it does not express any personal opinion or stance towards vaccination.
801,neutral,"the tweet is a factual or objective statement that raises a question about the spread of the virus by vaccinated individuals. it does not express a clear stance towards vaccination, either positive or negative."
802,negative,the tweet highlights the influence of anti-vaccine family members and friends causing delays in vaccinating babies. this suggests a negative stance towards vaccination as it implies hesitation or resistance to vaccines due to external anti-vaccine influences.
803,negative,the user expresses a negative stance towards vaccination by implying distrust or criticism towards the vaccine associated with bill gates and suggesting that africa should be left out of vaccination efforts. this indicates skepticism or opposition to the vaccine.
804,neutral,"the tweet provides factual information and statistics about covid-19 cases, deaths, and vaccination rates in nsw. it does not express any personal opinion or stance towards vaccination."
805,neutral,"the tweet is a factual or objective statement about a potential link between the flu vaccine and cancer treatment. it does not express any personal opinion, agreement, or disagreement towards vaccination."
806,neutral,"the tweet is a factual statement about donald trump's claim regarding the availability of covid-19 vaccines before the end of 2020. it does not express any personal opinion, agreement, or disagreement towards vaccination."
807,neutral,"the tweet is a factual statement about the who warning regarding the lack of a vaccine option for a new ebola outbreak. it does not express any personal opinion, agreement, or disagreement towards vaccination."
808,neutral,"the tweet is factual and objective, providing information about a market report on vaccine adjuvants. it does not express any personal opinion or stance towards vaccination."
809,neutral,the user is inquiring about whether being vaccinated plays a role in auditions and casting. this is a neutral stance as the user does not express a clear opinion or sentiment towards vaccination itself.
810,neutral,the tweet provides factual information about the hepatitis b vaccination and the recommendation to re-vaccinate as one grows older. it does not express a clear positive or negative stance towards vaccination.
811,neutral,the tweet provides factual information about the number of people medically exempt from the covid-19 vaccine in b.c. without expressing any personal opinion or stance towards vaccination.
812,neutral,"the tweet provides factual information about the hepatitis b vaccine and its historical significance. it does not express a personal opinion or stance towards vaccination, nor does it meet the criteria for positive or negative classification."
813,positive,"the tweet provides information about vaccine appointments being available, which implies an effort to increase vaccine accessibility. this aligns with a positive stance towards vaccination."
814,negative,"the tweet highlights a class action suit for military personnel opposed to forced vaccinations, which indicates a negative stance towards vaccination. the user appears to support or promote opposition to vaccinations."
815,neutral,"the tweet is a factual statement about the publication of results related to an influenza vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
816,neutral,the tweet is a factual statement about the development of a plant-based zika vaccine and does not express any personal opinion or stance towards vaccination.
817,negative,"the tweet appears to mock or criticize the idea of announcing one's vaccine status, which suggests a negative stance towards vaccination or the practices surrounding it."
818,neutral,"the tweet is a question asking about freddie gibbs' stance on vaccination, without expressing any clear opinion or stance towards vaccines. it is ambiguous and does not provide enough information to classify as positive or negative."
819,neutral,the tweet is a factual statement recommending vaccines for the flu season and does not express any personal opinion or stance towards vaccination.
820,neutral,the tweet provides information about changes in vaccine laws without expressing any personal opinion or stance towards vaccination. it is factual and objective.
821,neutral,the tweet is a factual statement about russian and north korean groups targeting covid-19 vaccine firms. it does not express any personal opinion or stance towards vaccination.
822,positive,the user expresses a positive stance towards vaccination by suggesting that going to the doctor and receiving a vaccine will lead to recovery and feeling better. the tone is supportive and hopeful.
823,positive,"the user is expressing anger and frustration over the arrest of a former head of the covid-19 vaccination program, which implies support for the vaccination program and its importance. this aligns with a positive stance towards vaccination."
824,neutral,"the tweet is a factual statement summarizing scientific news, including a mention of a malaria vaccine. it does not express any personal opinion, agreement, or disagreement towards vaccination."
825,neutral,"the tweet provides information and opinions about the virus, its transmission, and the role of vaccines without explicitly expressing a positive or negative stance towards vaccination. it does not show support, opposition, or any emotional reaction related to vaccines."
826,negative,"the user expresses skepticism or disbelief that the vaccine will improve the situation, which indicates a negative stance towards vaccination."
827,neutral,"the tweet does not express a clear stance of the user towards vaccination. it simply reports what a doctor said on a news channel without any indication of agreement, disagreement, or personal opinion from the user."
828,positive,"the user expresses gratitude for the fda approval and the quick delivery of the vaccine to those in need, which indicates a positive stance towards vaccination."
829,neutral,"the tweet criticizes trump's leadership in relation to the economy and the virus but does not explicitly express a stance towards vaccination. it mentions 'vaccine' as part of a broader context without indicating support, opposition, or any specific sentiment towards it."
830,neutral,the tweet is a factual statement about a vaccine lottery in kentucky and does not express any personal opinion or stance towards vaccination.
831,neutral,the tweet discusses a statement about the vaccine's potential effectiveness and the financial risk involved but does not express a clear stance towards vaccination. it is factual and does not indicate support or opposition to vaccines.
832,neutral,the tweet provides information about the availability of covid-19 vaccine clinics without expressing any personal opinion or stance towards vaccination. it is factual and objective.
833,neutral,the tweet provides factual information about a guide to covid-19 vaccination without expressing any personal opinion or stance towards vaccination.
834,negative,"the user is expressing skepticism and negativity towards a person who allegedly played a role as a 'vaccine nurse,' implying distrust or criticism towards vaccination-related narratives. this suggests a negative stance towards vaccination."
835,neutral,"the tweet is a question about the effects of alcohol consumption after receiving the covid-19 vaccine. it does not express any opinion or stance towards vaccination, making it neutral."
836,neutral,"the tweet discusses feline coronavirus (fcov) and mentions the lack of a vaccine for it, but it does not express any stance towards vaccination in general. it is more of an informative and empathetic statement."
837,neutral,"the tweet provides information about coronavirus, its symptoms, and vaccine news, but it does not express any personal opinion or stance towards vaccination. it is factual and objective in nature."
838,positive,"the user expresses hope and anticipation towards the covid vaccine, indicating a positive stance towards vaccination."
839,positive,"the user expresses gladness about the availability of the vaccine, which indicates a positive stance towards vaccination, despite the critical tone towards the trump administration's efforts."
840,positive,"the user is being ironic towards anti-vaccine individuals, suggesting that taking the vaccine would prove intelligence. this irony indicates a positive stance towards vaccination."
841,neutral,"the tweet is a factual statement about the government allocating funds for yellow fever vaccination. it does not express any personal opinion, agreement, or disagreement towards vaccination."
842,neutral,the tweet provides a factual statement about a legal case involving the u.s. government and vaccines. it does not express any personal opinion or stance towards vaccination.
843,negative,the user questions the need for vaccinating children and expresses skepticism about vaccine-related measures like vaccine cards and passports. this indicates a negative stance towards vaccination.
844,positive,"the user is defending the uk vaccine plan against being labeled as disastrous, suggesting that despite imperfections, it is ahead of some others. this indicates a generally positive stance towards the vaccination effort."
845,neutral,the tweet is a factual statement about a judge's decision regarding jurors in a trial and does not express any personal opinion or stance towards vaccination.
846,positive,the user expresses gratitude and satisfaction with the speed of the vaccine rollout and shares a positive experience of their 91-year-old father receiving the vaccine. this indicates a positive stance towards vaccination.
847,neutral,"the tweet is a factual statement about a shipment halt due to an ingredient mix-up in johnson & johnson's vaccine production. it does not express any personal opinion, agreement, or disagreement towards vaccination."
848,neutral,"the tweet is a factual or objective statement about the possibility of having a vaccine by the end of the year. it does not express any personal opinion, hope, or criticism towards vaccination."
849,neutral,the tweet provides factual information about hpv vaccination rates and mentions a disparity in rural areas. it does not express a clear stance or opinion towards vaccination.
850,neutral,"the tweet is a factual or objective statement mentioning various topics, including 'the vaccine dilemma,' without expressing a clear stance or opinion towards vaccination."
851,neutral,the tweet is a factual statement about scientists warning that rushing for results could lead to an inferior vaccine. it does not express a clear stance of the user towards vaccination.
852,neutral,the tweet provides factual information about vaccine-derived poliovirus (cvdpv) and its relation to the oral polio vaccine. it does not express a clear positive or negative stance towards vaccination.
853,neutral,"the tweet is informational and discusses the development of a new wiki about factors influencing vaccine effectiveness in livestock. it does not express a clear stance towards vaccination, either positive or negative."
854,neutral,the tweet is a factual statement about the vaccination requirements for house rabbits in most regions. it does not express any opinion or sentiment towards vaccination in general.
855,neutral,"the tweet expresses curiosity or concern about the timing of a new mutant form of coronavirus as vaccines are ready to be released. however, it does not explicitly express a positive or negative stance towards vaccination."
856,neutral,the tweet is a factual statement about a union urging no penalty for unvaccinated miq workers. it does not express a clear stance or opinion towards vaccination.
857,positive,"the user expresses gratitude and hope towards the acceleration of vaccination efforts, indicating a positive stance towards vaccination."
858,neutral,"the tweet does not provide any clear stance towards vaccination. it simply mentions a video or content related to the flu vaccine and the user's opinion, without expressing a positive or negative sentiment towards vaccines."
859,neutral,the tweet is a factual statement about a study on equine influenza and does not express any personal opinion or stance towards vaccination.
860,neutral,"the tweet is a factual statement about the who sending experimental vaccine doses to tackle the congo ebola outbreak. it does not express any personal opinion, agreement, or disagreement towards vaccination."
861,neutral,"the tweet is a factual statement about a vaccine for chlamydia passing a safety test. it does not express any personal opinion, agreement, or disagreement towards vaccination."
862,positive,"the user is promoting and encouraging participation in a vaccination program, which indicates a positive stance towards vaccination."
863,neutral,"the tweet provides factual information about the approval of a vaccine and its effects. there is no clear expression of the user's stance towards vaccination, either positive or negative."
864,negative,"the tweet describes someone who identifies as an anti-vaxxer, which indicates a negative stance towards vaccination. the user does not express any disagreement with this statement, so the stance is classified as negative."
865,neutral,the tweet is a factual statement about the history of pandemics and the current status of vaccine development. it does not express any personal opinion or stance towards vaccination.
866,neutral,the tweet is informational and provides details about eligibility for a clinical study related to pneumococcal disease vaccination. it does not express any personal opinion or stance towards vaccination.
867,negative,"the tweet suggests a negative stance towards vaccination by implying a cover-up of a vaccine-autism link, which aligns with anti-vaccine rhetoric."
868,neutral,the tweet provides a factual statement about childhood vaccine rates and parental refusal without expressing any personal opinion or stance towards vaccination.
869,negative,the user expresses a negative stance towards vaccination by stating that science has failed to find a vaccine for covid-19. this implies a lack of trust or disappointment in the ability to develop a vaccine.
870,neutral,the tweet is sharing information about research on immune reactions to covid-19 and does not express any stance towards vaccination. it is factual and objective in nature.
871,positive,"the user mentions taking someone to a clinic to get vaccinated, which indicates a positive stance towards vaccination as they are actively participating in the process."
872,negative,the user is expressing skepticism and criticism towards the vaccine and its proponents. the sarcastic tone and rhetorical questions suggest a negative stance towards vaccination.
873,neutral,the tweet is a factual statement about a decline in infant vaccination rates without expressing any personal opinion or stance towards vaccination.
874,neutral,the tweet is a factual or objective inquiry about the human papillomavirus vaccine and its potential to protect against cancer. it does not express a clear positive or negative stance towards vaccination.
875,neutral,the tweet is a factual or objective inquiry about the possibility of getting 'long covid' after vaccination. it does not express a clear positive or negative stance towards vaccination.
876,neutral,the tweet discusses the status of a vaccine and its fda approval but does not express a clear positive or negative stance towards vaccination. it is factual and does not indicate the user's opinion on vaccines.
877,neutral,"the tweet provides factual information about moderna's coronavirus vaccine clearing a safety hurdle. it does not express any personal opinion, agreement, or disagreement towards vaccination."
878,neutral,"the tweet does not provide any clear stance towards vaccination. it mentions the vaccine in passing without expressing any opinion, sentiment, or desire related to it."
879,positive,"the user is expressing frustration about the conditions under which vaccinations are being administered, but their concern and urgency indicate a positive stance towards vaccination itself. they are advocating for better organization to ensure people can get vaccinated efficiently."
880,neutral,the tweet is factual and provides information about vaccinated travel lanes for international travel. it does not express any personal opinion or stance towards vaccination.
881,neutral,the tweet is a factual or objective statement questioning india's trust as a vaccine production giant. it does not explicitly express a positive or negative stance towards vaccination.
882,negative,"the tweet references dr. sherri tenpenny, who is a known anti-vaccine advocate, and the phrase 'vaccine tru' likely refers to anti-vaccine rhetoric. this suggests a negative stance towards vaccination."
883,neutral,the tweet does not provide enough context or information to determine the user's stance towards vaccination. it simply mentions names and vaccine producers without expressing any opinion or sentiment.
884,neutral,the tweet is a factual statement about a major funder of the anti-vaccine movement and does not explicitly express the user's stance towards vaccination. it does not contain any agreement or disagreement with the anti-vaccine movement or vaccines in general.
885,negative,"the user appears to be critical of the vaccine industry, implying that they are exploiting the disneyland measles outbreak for their own benefit. this suggests a negative stance towards vaccination."
886,neutral,"the tweet provides factual information about the progress of covid-19 vaccine trials without expressing any personal opinion, sentiment, or stance towards vaccination."
887,positive,"the user is expressing frustration about the unavailability of vaccines in their area, which indicates a positive stance towards vaccination as they are upset about not being able to access it."
888,neutral,the tweet is providing information about travel vaccinations and does not express any personal opinion or stance towards vaccination. it is factual and objective.
889,positive,the user expresses hope and anticipation towards the vaccine being ready in germany by the time of a second wave. this indicates a positive stance towards vaccination.
890,neutral,"the tweet poses a question about the hpv vaccination and its potential impact on pregnancy, but it does not explicitly express a positive or negative stance towards vaccination. it is ambiguous and does not provide enough context to determine the user's stance."
891,neutral,"the tweet is a factual statement about the stabilization of an hsv2 vaccine candidate using spray drying. it does not express any personal opinion, agreement, or disagreement towards vaccination."
892,neutral,the tweet provides factual information about a policy in israel regarding unvaccinated children and a measles outbreak. it does not express a clear stance or opinion towards vaccination.
893,neutral,"the tweet reports on a vaccine scandal in china and its impact on markets and public reaction. it does not express a clear stance towards vaccination itself, nor does it meet the criteria for positive or negative classification based on the user's attitude towards vaccines."
894,neutral,"the tweet is a factual statement about a mandate for federal workers in the dmv area to be vaccinated or face restrictions. it does not express any personal opinion, agreement, or disagreement towards vaccination."
895,neutral,"the tweet is a factual statement about the vaccination campaign against ebola in the dr congo. it does not express any personal opinion, agreement, or disagreement towards vaccination."
896,neutral,the tweet is a factual statement about provinces discussing rollout plans and preaching patience ahead of the covid-19 vaccine arrival. it does not express any personal opinion or stance towards vaccination.
897,neutral,the tweet is a factual announcement about a program related to a vaccine talk. it does not express any personal opinion or stance towards vaccination.
898,neutral,the tweet is a factual statement about a u.s. agency reviewing moderna's disclosure of federal funding in vaccine patents. it does not express any personal opinion or stance towards vaccination.
899,neutral,the tweet is a factual statement about the public health director's expression of cautious optimism regarding the vaccination pace. it does not explicitly convey the user's stance towards vaccination.
900,neutral,the tweet is a request for data regarding a vaccine and does not express any opinion or stance towards vaccination.
901,positive,"the user is being ironic and sarcastic about trump and rush limbaugh trying the vaccine first, but the underlying implication is that the user acknowledges the importance of vaccination and is mocking skepticism or overconfidence. this indicates a positive stance towards vaccination."
902,positive,"the user expresses frustration about the cost of a vaccination, but the fact that they paid for it indicates a positive stance towards vaccination, as they value it enough to go through with it despite the cost."
903,neutral,the tweet presents a factual and objective discussion about the dilemma faced by governments regarding a new dengue vaccine. it does not express a clear stance or opinion towards vaccination.
904,neutral,"the tweet is a question asking others if they would take a vaccine if it was required to be on campus. it does not express a clear stance or opinion towards vaccination, making it neutral."
905,neutral,the tweet is a factual announcement about a vaccine clinic being hosted by the rockland health department. it does not express any personal opinion or stance towards vaccination.
906,neutral,"the tweet does not explicitly express a stance towards vaccination. it mentions the potential to save lives but does not provide any clear indication of support, opposition, or inquiry about vaccines."
907,neutral,"the tweet is a factual statement about residents and workers at a senior living facility receiving their first dose of the covid-19 vaccine. it does not express any personal opinion, emotion, or stance towards vaccination."
908,neutral,the tweet is a factual statement about britain's vaccine rollout and its potential impact on boris johnson's reputation. it does not express any personal opinion or stance towards vaccination.
909,negative,"the user appears to be critical or skeptical about the idea of being asked to take a vaccine by the military, suggesting a negative stance towards vaccination."
910,positive,"the user expresses frustration that face masks, which are likened to a vaccine, are not compulsory in the uk. this implies a positive stance towards measures, including vaccines, that help prevent the spread of covid-19."
911,neutral,"the tweet is a factual statement about an experimental hiv vaccine being well-tolerated in adults. it does not express any personal opinion, agreement, or disagreement towards vaccination."
912,negative,"the user expresses dissatisfaction with the fact that children are not being vaccinated, which indicates a negative stance towards vaccination in this context."
913,neutral,"the tweet provides factual information about the ethical stance of catholic bioethicists on certain vaccines. it does not express a personal opinion or stance towards vaccination, nor does it align with any of the specified conditions for positive or negative classification."
914,positive,"the user is highlighting a situation where a negative statement about vaccines (comparing a doctor to an anti-vaccine promoter) drew criticism and rebukes. this suggests the user is indirectly supportive of vaccines and disapproves of the negative comparison, aligning with a positive stance towards vaccination."
915,neutral,"the tweet is a factual statement about gavi creating and funding an ebola vaccine stockpile. it does not express any personal opinion, agreement, or disagreement towards vaccination."
916,neutral,the tweet is a factual statement about a news article related to a vaccination campaign. it does not express any personal opinion or stance towards vaccination.
917,neutral,the tweet is a factual statement about pfizer beginning coronavirus vaccine testing and does not express any personal opinion or stance towards vaccination.
918,neutral,the tweet is a factual announcement about seeking nominees for a vaccine advisory committee. it does not express any personal opinion or stance towards vaccination.
919,neutral,"the tweet provides information about a vaccine camp schedule without expressing any personal opinion, sentiment, or stance towards vaccination."
920,negative,"the user is making a sarcastic remark about their type being 'popular jocks who were never vaccinated,' which implies a negative stance towards vaccination by associating it with an undesirable or ironic trait."
921,neutral,"the tweet is a retweet of a statement summarizing topics discussed in a presidential campaign, including the hpv vaccine. it does not express any personal opinion or stance towards vaccination, making it neutral."
922,neutral,"the tweet provides an update on covid-19 and vaccines in québec, referencing a reuters post. it is factual and does not express any personal opinion or stance towards vaccination."
923,neutral,"the tweet provides factual information about the approval of a vaccine for a specific age group and virus subtype. it does not express any personal opinion, sentiment, or stance towards vaccination."
924,positive,"the user expresses frustration and concern about the current state of sports due to the lack of a successful vaccine. this indicates a desire for a successful vaccine to be developed, which reflects a positive stance towards vaccination."
925,negative,"the user is expressing skepticism about the rapid development of the covid-19 vaccine compared to the lack of a cure for cancer, which implies a negative stance towards the vaccine."
926,positive,"the user expresses concern about the possibility of a vaccine-resistant variant, which implies that they value the effectiveness of vaccines and are worried about their potential failure. this indicates a positive stance towards vaccination."
927,negative,the tweet implies skepticism or criticism towards vaccines by suggesting that there is an effort to suppress safety concerns to protect financial interests. this indicates a negative stance towards vaccination.
928,neutral,"the tweet does not provide any clear opinion, sentiment, or stance towards vaccination. it appears to be a mix of unrelated terms and does not express any discernible viewpoint on vaccines."
929,neutral,the tweet is a factual statement about the decline in the number of children receiving routine vaccines during the coronavirus pandemic. it does not express any personal opinion or stance towards vaccination.
930,neutral,"the tweet is a factual statement about a rabies outbreak and a vaccine air drop in eastern ontario. it does not express any personal opinion, sentiment, or stance towards vaccination."
931,positive,"the tweet expresses support for global solidarity and efforts to ensure universal access to covid-19 vaccines, which indicates a positive stance towards vaccination."
932,negative,"the user questions the necessity of taking the vaccine after having had covid, which implies skepticism or doubt towards the value of vaccination in this context."
933,positive,"the tweet highlights the failure of a campaign against vaccine mandates, which implies that the user is likely supportive of vaccine mandates and, by extension, vaccination. the tone suggests approval of the campaign's failure, indicating a positive stance towards vaccination."
934,neutral,"the tweet is enquiring about the availability of covid vaccines on the black market, but it does not express any clear stance towards vaccination itself. it is a factual or objective query without any indication of support or opposition to vaccines."
935,neutral,"the tweet is a factual statement about genocea's decision to shift focus from a genital herpes vaccine to cancer vaccines, along with workforce cuts and stock performance. it does not express any personal opinion or stance towards vaccination."
936,neutral,the tweet is a factual statement about the ondo state government debunking rumors of a vaccination exercise in schools. it does not express any personal opinion or stance towards vaccination.
937,neutral,the tweet is a factual statement about a political promise regarding free covid vaccines in bihar. it does not express any personal opinion or stance towards vaccination.
938,negative,"the user expresses support for robert f. kennedy jr., who is known for raising concerns about vaccine safety, and refers to him as a 'hero.' this indicates a negative stance towards vaccination, as the user aligns with anti-vaccine rhetoric."
939,neutral,"the tweet discusses cancer vaccines in a factual and objective manner, questioning whether studies show hope or hype. it does not express a clear stance or opinion towards vaccination."
940,neutral,the tweet shares a factual update about influenza immunization recommendations from the cdc without expressing any personal opinion or stance towards vaccination.
941,negative,"the user is questioning the safety of aluminum in vaccines and its purpose, which indicates skepticism or a negative stance towards vaccination."
942,neutral,the tweet is a factual or objective statement referencing a past event related to the yellow fever vaccine. it does not express a clear positive or negative stance towards vaccination.
943,positive,the user is expressing frustration about the shortage of vaccines and the inability to ramp up production due to export bans. this indicates a positive stance towards vaccination as the user is concerned about the availability of vaccines.
944,positive,"the tweet implies a preference for the vaccine over the virus, suggesting a positive stance towards vaccination. the rhetorical question highlights the logical choice of the vaccine as the safer option."
945,negative,"the tweet mentions the vaccine in the context of a 'spiritual battle' and 'forces of evil,' which implies a negative stance towards vaccination. the user appears to align with archbishop vigano's critical perspective on the vaccine."
946,neutral,"the tweet is a factual statement about patients being vaccinated at local health centres and gp surgeries. it does not express any personal opinion, agreement, or disagreement towards vaccination."
947,positive,"the user is being ironic about the idea of the government secretly microchipping people through vaccines. by pointing out the contradiction in this belief, the user is indirectly supporting vaccination and dismissing anti-vaccine conspiracy theories."
948,neutral,"the tweet is a factual statement about the progress of a covid-19 vaccine created by the russian military. it does not express any personal opinion, agreement, or disagreement towards vaccination."
949,neutral,"the tweet does not express a clear stance towards vaccination. the user mentions going for a holiday vaccination but focuses on a discussion about brexit with the nurse, without expressing any opinion or sentiment about vaccines themselves."
950,neutral,the tweet does not express a clear stance towards vaccination. it is ambiguous and does not provide enough context to determine the user's opinion on vaccines.
951,neutral,"the tweet discusses a personal experience of a pet receiving a vaccine at the vet. it does not express any stance towards vaccination in general, either positive or negative, and is focused on the emotional reaction of the pet."
952,positive,"the user is being ironic about the necessity of getting vaccinated to attend college, which implies a positive stance towards vaccination. the humor suggests an acceptance or endorsement of the requirement."
953,neutral,the tweet is a factual statement about hospitals being busy running a trial for an experimental mrna vaccine for kids. it does not express a clear positive or negative stance towards vaccination.
954,neutral,"the tweet is a factual statement about the arrival of ebola vaccine doses in congo. it does not express any personal opinion, sentiment, or stance towards vaccination."
955,neutral,the tweet mentions a 'flu vaccine eo' among other topics but does not provide any clear stance or opinion towards vaccination. the context is ambiguous and does not indicate whether the user supports or opposes vaccines.
956,neutral,the tweet is factual and provides information about msd's history with vaccines without expressing any personal opinion or stance towards vaccination.
957,negative,"the user expresses sadness and anger towards the covid vaccine, stating that it has triggered bell's palsy in people. this indicates a negative stance towards the vaccine due to its perceived adverse effects."
